Plate	Position	Well	Row	Column	Target	Group_Target	siRNA_target_A	siRNA_target_B
Plate_4	F,8	6,8	6	8	BLANK	BLANK	NA	NA
Plate_4	F,9	6,9	6	9	BLANK	BLANK	NA	NA
Plate_4	F,10	6,10	6	10	Control_1|Control_2	Control	1	1
Plate_4	F,11	6,11	6	11	Control_1|Control_2	Control	1	1
Plate_4	G,2	7,2	7	2	BLANK	BLANK	NA	NA
Plate_4	G,3	7,3	7	3	BLANK	BLANK	NA	NA
Plate_4	G,4	7,4	7	4	BLANK	BLANK	NA	NA
Plate_4	G,5	7,5	7	5	BLANK	BLANK	NA	NA
Plate_4	G,6	7,6	7	6	BLANK	BLANK	NA	NA
Plate_4	G,7	7,7	7	7	BLANK	BLANK	NA	NA
Plate_4	G,8	7,8	7	8	BLANK	BLANK	NA	NA
Plate_4	G,9	7,9	7	9	BLANK	BLANK	NA	NA
Plate_4	G,10	7,10	7	10	Control_1|Control_2	Control	1	1
Plate_4	G,11	7,11	7	11	Control_1|Control_2	Control	1	1
